,id,name,sdate,edate
538,547,['Mali Federation'],6/20/1960,7/31/1960
539,548,['Indonesia'],8/17/1945,4/3/1963
540,549,['Mongolia'],2/13/1992,9
541,550,"[""Mongolian People's Republic""]",11/26/1924,2/12/1992
542,551,['Kingdom of Libya'],12/24/1951,8/31/1969
543,552,['Libyan Arab Republic'],9/1/1969,12/31/1972
544,553,['Iran'],11/6/1979,9
545,554,['Iran'],5/1/1946,2/10/1979
546,555,['Interim Government of Iran'],2/11/1979,11/5/1979
547,556,['Libyan Arab Jamahiriya'],3/2/1977,8/27/2011
548,557,['Libyan Arab Republic'],1/1/1973,3/1/1977
549,558,['Libya'],8/28/2011,9
550,559,['Sudan'],7/9/2011,9
551,560,['Dutch East Indies'],4/14/1928,2/1/1942
552,561,['Dutch East Indies'],1/1/1920,4/13/1928
553,562,['Netherlands New Guinea'],12/27/1949,9/30/1962
554,563,['Indonesia'],5/20/2002,9
555,564,['Indonesia'],5/1/1963,6/30/1976
556,565,['Dutch East Indies'],9/2/1945,12/26/1949
557,566,['Indonesia'],7/1/1976,5/19/2002
558,567,['Saudi Arabia'],6/12/2000,9
559,568,['Saudi Arabia'],9/23/1932,6/11/2000
560,569,['Mexico'],1821-09-27,9
561,570,['Greenland'],5/1/1979,9
562,571,['Algeria'],7/5/1962,9
563,572,['French Algeria'],1/1/1919,7/4/1962
564,573,['Republic of the Congo'],1/16/1963,10/26/1971
565,574,['Democratic Republic of the Congo'],5/17/1997,9
566,575,['Zaire'],10/27/1971,5/16/1997
567,576,['Belgian Congo'],11/15/1908,6/30/1960
568,577,['Sudan'],1/1/1956,7/8/2011
569,578,['Anglo-Egyptian Sudan'],1/1/1919,12/31/1955
570,579,['Kazakhstan'],12/16/1991,9
571,580,['Argentina'],1861-01-01,9
572,581,['India'],5/17/1975,9
573,582,['Australia'],10/9/1942,9
574,583,['Brazil'],1822-09-07,9
575,584,['Republic of China (1912â€“1949)'],10/25/1945,11/30/1949
576,585,['United States of America'],1783-09-03,9
577,586,['Canada'],12/11/1931,6/30/1948
578,587,['Canada'],7/1/1948,9
579,588,['Russia'],12/21/1991,9
580,589,['Soviet Union'],9/6/1991,12/20/1991
581,590,['Soviet Union'],1/1/1946,9/5/1991
582,591,['French Comoros'],10/14/1958,7/5/1975
583,593,['Colony of Singapore'],11/23/1955,12/31/1956
584,594,['Colony of Singapore'],1/1/1957,8/30/1963
585,999,['Antarctica'],0,9
586,595,['Moldova'],8/27/1991,9
