,id,name,sdate,edate
60,61,['Annam'],8/23/1945,4/30/1954
61,62,['Territory of Papua'],1884-11-06,12/31/1948
62,63,['Tonkin'],8/23/1945,4/30/1954
63,64,['Korea under Japanese rule'],8/29/1910,8/14/1945
64,65,['North Borneo'],7/15/1946,9/15/1963
65,67,['South Georgia and the South Sandwich Islands'],1/1/1985,9
66,68,['Falkland Islands Dependencies'],1/1/1902,12/31/1984
67,69,['French Guiana'],6/6/1930,3/18/1946
68,70,['Inini'],6/6/1930,3/18/1946
69,71,Thailand,8/1/1943,3/25/1945
70,72,['Ukraine'],3/21/2014,9
71,73,['Republic of Crimea'],3/21/2014,9
72,74,['Gibraltar'],1713-04-11,9
73,75,['Monaco'],1861-01-01,9
74,76,['Cocos (Keeling) Islands'],11/23/1955,9
75,77,['British Cocos Islands'],1886-01-01,11/22/1955
76,78,['British Virgin Islands'],1/4/1958,9
77,79,['Saint-BarthÃ©lemy'],1878-03-16,9
78,80,['Nauru'],12/31/1968,9
79,81,['Japanese occupation of Nauru'],8/26/1942,3/12/1945
80,82,['Trust Territory of Nauru'],3/13/1945,12/30/1968
81,83,['Tuvalu'],10/1/1978,9
82,84,['Territory of Tuvalu'],1/1/1976,9/30/1978
83,85,['Gilbert and Ellice Islands'],1/12/1916,12/31/1975
84,86,['Portuguese Macau'],1887-12-01,12/19/1999
85,87,['Macau'],12/20/1999,12/19/1999
86,88,['Maldives'],5/26/1965,9
87,89,['Sint Maarten'],10/10/2010,9
88,90,['Marshall Islands'],10/21/1986,9
89,91,['Norfolk Island'],1/1/1979,9
90,92,['Bermuda'],1707-01-01,9
91,93,['Saint Martin'],1648-03-23,9
92,94,['Pitcairn Islands'],12/19/1938,9
93,95,['San Marino'],1738-01-01,9
94,96,['Guernsey'],5/9/1945,9
95,97,['Anguilla'],12/19/1980,9
96,98,['Crown colony of Labuan'],8/15/1945,7/14/1946
97,99,['Jersey'],5/9/1945,9
98,100,['Saint Helena'],1834-04-22,9
99,102,['Christmas Island'],1/1/1957,9
100,103,['Liechtenstein'],1866-08-24,9
101,104,['Aruba'],1/1/1986,9
102,105,['Saint Kitts and Nevis'],12/18/1980,9/18/1983
103,106,['Saint Kitts and Nevis'],9/19/1983,9
104,107,['American Samoa'],1/1/1925,9
105,108,['Tristan da Cunha'],1/12/1938,9
106,109,['Cook Islands'],8/4/1965,9
107,110,['Protectorate of Cook Islands'],3/24/1902,8/3/1965
108,111,['Saint Pierre and Miquelon'],1814-05-30,9
109,112,['Akrotiri and Dhekelia'],8/16/1960,9
110,113,['Niue'],10/19/1974,9
111,114,['Colony of Niue'],1/1/1901,10/18/1974
112,115,['Cayman Islands'],8/6/1962,9
113,116,['Wallis and Futuna'],1/1/1961,9
114,117,['Malta'],9/21/1964,9
115,118,['Malta Colony'],1813-07-23,9/20/1964
116,119,['Caribbean Netherlands'],10/10/2010,9
117,120,['Saint Vincent and the Grenadines'],10/27/1979,9
118,121,['Saint Vincent'],1/4/1958,10/26/1979
119,122,['Grenada'],2/7/1974,9
120,123,['Grenada'],1/4/1958,2/6/1974
121,124,['All-Palestine Government'],5/14/1948,1/1/1959
122,125,['Egyptian Gaza'],1/2/1959,5/31/1967
123,126,['Mayotte'],7/6/1975,9
124,127,['Seychelles'],6/29/1976,9
125,128,['Colony of Seychelles'],1/1/1903,6/28/1976
126,129,['Palau'],10/1/1994,9
127,130,['Trust Territory of the Pacific Islands'],11/2/1986,9/30/1994
128,131,['Kiribati'],7/12/1979,9
129,132,['Gilbert and Ellice Islands'],1/1/1976,7/11/1979
130,133,['United States Virgin Islands'],3/31/1917,9
131,134,['CuraÃ§ao'],10/10/2010,9
132,135,['Barbados'],11/30/1966,9
133,136,['Barbados'],1628-07-05,11/29/1966
134,137,['Northern Mariana Islands'],1/1/1986,9
135,138,['Tonga'],6/4/1970,9
136,139,['British Tonga'],5/18/1900,6/5/1970
137,140,['Andorra'],1813-01-01,9
138,141,['French India'],5/2/1950,10/30/1954
139,142,['Federated States of Micronesia'],11/3/1986,9
140,143,['Trust Territory of the Pacific Islands'],10/21/1986,11/2/1986
141,144,['Trust Territory of the Pacific Islands'],7/18/1947,10/20/1986
142,145,['South Pacific Mandate'],6/28/1919,7/17/1947
143,146,['French India'],1769-01-01,5/1/1950
144,147,['Antigua and Barbuda'],11/1/1981,9
145,148,['Colony of Antigua'],1/1/1962,12/31/1967
146,149,['Antigua and Barbuda'],1/1/1968,10/31/1981
147,150,['Guam'],7/1/1950,9
148,151,['Guam'],8/10/1944,6/30/1950
149,152,['Singapore'],8/9/1965,9
150,153,['Singapore'],8/31/1963,9/15/1963
151,154,['Colony of Singapore'],4/1/1946,11/22/1955
152,155,['Japanese-occupied Singapore'],2/15/1942,8/14/1945
153,156,['Isle of Man'],1765-01-01,9
154,157,['Turks and Caicos Islands'],7/10/1973,9
155,158,['Saint Lucia'],2/22/1979,9
156,159,['Saint Lucia'],3/1/1967,2/21/1979
157,160,['Saint Lucia'],1/1/1939,2/28/1967
158,161,['Bahrain'],8/15/1971,9
159,162,['Protectorate of Bahrain'],1892-01-01,8/14/1971
160,163,['Dominica'],11/3/1978,9
161,164,['Dominica'],1/4/1958,11/2/1978
162,165,['Netherlands Antilles'],1/1/1986,10/9/2010
163,166,['Montserrat'],1/4/1958,9
164,167,['British Leeward Islands'],1/1/1940,1/3/1958
165,168,['Hong Kong'],7/1/1997,9
166,169,['British Hong Kong'],1842-08-29,12/24/1941
167,170,['Japanese occupation of Hong Kong'],12/24/1941,8/15/1945
168,171,['British Hong Kong'],8/16/1945,6/30/1997
169,172,['Martinique'],3/19/1946,9
170,173,['Sao Tome and Principe'],7/12/1975,9
171,174,['Portuguese SÃ£o TomÃ© and PrÃ\xadncipe'],1/1/1901,7/11/1975
172,175,['Netherlands Antilles'],12/15/1954,12/31/1985
173,176,['CuraÃ§ao and Dependencies'],1845-01-01,12/14/1954
174,177,['Faroe Islands'],4/1/1948,9
175,178,['Panama Canal Zone'],11/18/1903,10/1/1979
176,181,['Ã…land Islands'],6/9/1922,9
177,182,['Guadeloupe'],3/19/1946,9
178,183,['Comoros'],7/6/1975,9
179,184,['British Windward Islands'],1/1/1940,1/3/1958
180,185,['Mauritius'],3/12/1968,9
181,186,['British Mauritius'],1/1/1903,3/11/1968
182,187,['RÃ©union'],3/19/1946,9
183,188,['Saar Protectorate'],12/15/1947,10/27/1956
184,189,['Luxembourg'],9/10/1944,9
185,190,"[""People's Republic of Zanzibar and Pemba""]",12/19/1963,4/26/1964
186,191,['Sultanate of Zanzibar'],1856-10-19,12/18/1963
